B02001_001E : B02001.  Race : Total:
3.000000 km,total
8104210,307727594

"B02001_010E : B02001.  Race : Two or more races:!!Two races excluding Some other race, and three or more races"
3.000000 km,total
152500,6202003

B02006_001E : B02006.  Asian Alone By Selected Groups : Total:
3.000000 km,total
603116,14197907

B02012_001E : B02012.  Native Hawaiian And Other Pacific Islander Alone Or In Combination With One Or More Other Races : Total:
3.000000 km,total
27503,973746

B02001_007E : B02001.  Race : Some other race alone
3.000000 km,total
1040456,16999803

B01003_001E : B01003.  Total Population : Total
3.000000 km,total
8104210,307727594

B02001_009E : B02001.  Race : Two or more races:!!Two races including Some other race
3.000000 km,total
50107,1437424

B02001_008E : B02001.  Race : Two or more races:
3.000000 km,total
202607,7639427

B02010_001E : B02010.  American Indian And Alaska Native Alone Or In Combination With One Or More Other Races : Total:
3.000000 km,total
108266,4800428

B02001_005E : B02001.  Race : Asian alone
3.000000 km,total
603116,14197907

B02001_004E : B02001.  Race : American Indian and Alaska Native alone
3.000000 km,total
52338,2487880

B02005_001E : B02005.  AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS : Total:
3.000000 km,total
52338,2487880

B02001_006E : B02001.  Race : Native Hawaiian and Other Pacific Islander alone
3.000000 km,total
18171,491774

B02013_001E : B02013.  Some Other Race Alone Or In Combination With One Or More Other Races : Total:
3.000000 km,total
1093741,18551824

B02007_001E : B02007.  Native Hawaiian and other Pacific Islander Alone By Selected Groups : Total:
3.000000 km,total
18171,491774

B02011_001E : B02011.  Asian Alone Or In Combination With One Or More Other Races : Total:
3.000000 km,total
654233,16213636

B02009_001E : B02009.  Black Or African American Alone Or In Combination With One Or More Other Races : Total:
3.000000 km,total
1523741,41201151

B02001_003E : B02001.  Race : Black or African American alone
3.000000 km,total
1437965,38253595

B02001_002E : B02001.  Race : White alone
3.000000 km,total
4749557,227657208

B02008_001E : B02008.  White Alone Or In Combination With One Or More Other Races : Total:
3.000000 km,total
4915180,234234379

